Date,Open,High,Low,Close,Volume
2019-11-25,262.71,266.44,262.52,266.37,21029520
2019-11-26,266.94,267.16,262.5,264.29,26334880
2019-11-27,265.58,267.98,265.31,267.84,16386120
2019-11-29,266.6,268.0,265.9,267.25,11654360
2019-12-02,267.27,268.25,263.45,264.16,23693550
2019-12-03,258.31,259.53,256.29,259.45,29377270
2019-12-04,261.07,263.31,260.68,261.74,16810390
2019-12-05,263.79,265.89,262.73,265.58,18661340
2019-12-06,267.48,271.0,267.3,270.71,26547490
2019-12-09,270.0,270.8,264.91,266.92,32182650
2019-12-10,268.6,270.07,265.86,268.48,22632380
2019-12-11,268.81,271.1,268.5,270.77,19723390
2019-12-12,267.78,272.5599,267.321,271.46,34437040
2019-12-13,271.46,275.3,270.93,275.15,33432810
2019-12-16,277.0,280.79,276.98,279.86,32081110
2019-12-17,279.57,281.77,278.8,280.41,28575800
2019-12-18,279.8,281.9,279.12,279.74,29024690
2019-12-19,279.5,281.18,278.95,280.02,24626950
